Movie ID,Genre IDs,Popularity
842945,"[28, 18]",14.883
786705,"[35, 18]",14.883
366696,[99],14.883
35032,"[10402, 10749, 35, 12]",14.883
6103,"[80, 9648]",14.882
664300,"[35, 18]",14.881
1212009,"[18, 10749]",14.88
397415,"[28, 18, 53]",14.879
1122634,"[14, 35, 80]",14.878
967585,"[35, 10751]",14.875
10604,[18],14.875
1377681,"[18, 36]",14.874
204435,"[28, 878]",14.873
1553,"[10402, 18, 80]",14.873
1555,"[18, 35, 10749]",14.87
567971,"[35, 27]",14.869
89185,"[35, 18, 10751, 10770, 10402]",14.869
18808,"[28, 12, 18]",14.869
343144,"[10749, 35, 18]",14.867
26405,"[18, 53]",14.867
1900,"[53, 18, 80]",30.818
44115,"[12, 18, 53]",30.803
831973,[18],30.787
747188,"[35, 18]",30.773
120475,"[28, 16, 878]",30.767
1578,[18],30.767
624963,"[10751, 14, 12, 35]",30.766
15157,"[35, 10402]",30.759
546726,"[18, 10749]",30.733
931102,"[28, 35, 18, 10751]",30.708
31685,"[18, 10749, 27]",30.706
353616,"[35, 10402]",30.705
628704,"[53, 80]",30.695
571055,"[27, 53, 10770]",30.695
66105,"[28, 16, 14]",30.695
480414,[27],30.691
682,"[12, 28, 53]",30.687
13597,"[12, 10751, 14]",30.678
15070,"[18, 80]",30.67
10358,"[35, 10749]",30.67
428493,"[10749, 18]",15.546
18415,"[18, 35]",15.546
11026,"[27, 9648, 53]",15.545
14854,"[28, 80]",15.544
918930,"[16, 14, 18]",15.543
8831,"[53, 878, 28, 80]",15.541
2749,"[28, 80, 53]",15.54
17332,"[18, 10402]",15.539
658228,[10749],15.536
437375,"[53, 9648]",15.535
201749,"[18, 35]",15.535
826749,"[28, 53, 80]",15.534
573730,"[16, 12, 14, 9648, 18, 878]",15.533
369192,"[18, 35, 36]",15.532
8838,"[28, 80, 18, 53]",15.532
15271,[35],15.53
1171099,"[18, 36]",15.529
987917,[35],15.527
890656,"[28, 14]",15.527
780609,"[27, 53, 14]",15.523
487242,"[878, 28, 16]",19.939
10708,"[35, 10751]",19.938
15263,"[37, 35]",19.937
354285,"[9648, 18]",19.935
10316,[18],19.933
1016084,[35],19.928
52333,[18],19.928
114478,"[16, 28, 878]",19.927
15139,"[10751, 14, 16]",19.927
393457,[18],19.923
104,"[28, 18, 53]",19.922
16411,"[28, 80, 18]",19.912
12600,"[12, 14, 16, 878, 10751]",19.911
10493,"[53, 27]",19.911
9320,"[28, 12, 53, 878, 35]",19.91
18972,[37],19.905
209189,"[35, 80]",19.894
11948,"[18, 36, 10752]",19.89
2665,[35],19.886
458344,"[35, 18, 10749]",19.884
323677,"[18, 36]",15.074
290729,"[53, 28]",15.074
651070,"[18, 53, 9648]",15.073
484886,[878],15.073
2755,"[18, 35]",15.072
129139,"[35, 10749]",15.071
1352954,"[10751, 35]",15.07
366018,"[35, 10749, 10770]",15.07
70345,"[27, 878]",15.07
54898,"[18, 10749]",15.07
1171989,[99],15.068
18780,"[10752, 18]",15.068
949581,[16],15.067
340674,"[18, 53]",15.066
11909,"[28, 80, 53]",15.066
11692,"[28, 35, 878]",15.066
9040,"[80, 18]",15.066
435601,"[80, 53, 28]",15.065
18214,"[28, 18]",15.065
561458,[80],15.064
700391,"[28, 12, 878]",40.012
149,"[16, 878, 28]",39.994
10895,"[16, 10751, 14]",39.993
356305,[35],39.985
87421,"[878, 28, 53]",39.976
84892,[18],39.949
18835,"[35, 10749]",39.946
379686,"[10751, 16, 35, 878]",39.941
324668,"[28, 53]",39.938
157433,"[27, 53]",39.917
95,"[28, 53, 878, 12]",39.89
73456,"[10751, 16, 14]",39.882
8078,"[878, 27, 28]",39.874
433808,"[27, 53, 9648]",39.868
302699,"[28, 35, 80, 9648]",39.866
406563,"[27, 53]",39.863
173185,[35],39.86
118340,"[28, 878, 12]",39.857
1979,"[878, 12, 28]",39.85
1051560,[27],39.822
288,"[37, 53]",26.642
9473,"[16, 35]",26.635
454458,"[16, 10402, 10751, 35]",26.625
1039690,"[53, 28, 80, 18]",26.62
617653,"[36, 18, 28]",26.611
228205,"[18, 10749]",26.61
18487,"[80, 53, 28]",26.606
10222,"[28, 53, 18]",26.594
10258,"[16, 35, 10751]",26.593
227159,[35],26.592
420821,"[16, 10751, 35, 12, 9648]",26.581
1576,"[27, 28, 878]",26.58
780382,"[10751, 12, 18]",26.569
12665,"[18, 14]",26.56
588108,"[10752, 28, 18, 36]",26.559
271026,"[35, 10749]",26.548
1146412,[10749],26.546
866463,"[80, 9648, 53]",26.545
10226,"[27, 53, 9648]",26.545
506517,"[12, 10751, 878]",26.544
1181548,[28],35.861
928358,[18],35.861
